Category,Name,Date,Location,Rating,Review
BBB,Darah V,4/08/2021,N/A,,"PMTI provided so many helpful resources after the bootcamp to help you prepare to take the exam. The videos, mock exams, online books and material handouts were so helpful. It kept me on track in studying for the exam after I completed the bootcamp. I passed on my first attempt. I would highly recommend the PMTI PMP Bootcamp for those wanting their PMP certification. 	 "
BBB,Hong,4/07/2021,N/A,,"The PMP Boot camp helped prepare me for the PMI certification exam. The materials provided from the class and the practice exams helped me passed my test on my first try. This is a very difficult test to study for. I received above target for 2 of the 3 components. Due to the COVID-19 constraint, I took the the course via virtual. The instructor was great. He provided the study guideline to prepare for the exam after the students completed the course. The study guideline is invaluable and I passed. 	 "
BBB,Brian M,4/05/2021,N/A,,PMTI boot camp does an amazing job at preparing you for the certification exam. Strongly recommend them for seeking PMP certification. 	 
BBB,Julie B,03/29/2021,N/A,,"The PMTI Boot Camp was a great way to prep for the exam. While I can't say for sure, I do believe PMTI provides more post course support than other boot camps out there. The practice exams really prepare you for the real exam, I don't think I would have passed on my first attempt with out them. I highly recommend taking this course. 	 "
BBB,Sean T,03/20/2021,N/A,,"The PMTI Bootcamp was extremely helpful and key to my passing the PMP exam! Perfect for those with little extra time on their hands, the boot camp format prepared me Monday - Thursday to take the exam that Friday. I was done and a PMP certification holder in a very short amount of time. Would recommend the PMTI Bootcamp to anyone pursuing a PMP certification. 	 "
BBB,Dorothy Z,03/18/2021,N/A,,The PMTI Bootcamp was incredibly helpful and beneficial in my quest to receive my PMP certification. PMTI does a very thorough job of covering the topics that will be on the exam. The Bootcamp combined with the stimulation exams PMTI offers greatly prepared me for the exam and I passed on my first attempt. I highly recommend the course to anyone seeking their PMP certification. 	 
BBB,Dawn R,03/16/2021,N/A,,"Bootcamp pain pays off! Great training, access to several training videos in addition to the bootcamp instruction. Plenty of great mock exam questions which were also reviewed in depth by the instructor effectively addressing student errors and oversights. Well prepared for the exam -- I am PMP certified. Thank you PMTI!. 	 "
BBB,Jill,03/12/2021,N/A,,"PMTI provides plenty of study materials, not only will you receive guides and study books for the bootcamp, but you also get access to online practice tests, vocabulary terms etc. By attending the bootcamp and reviewing the study materials, you have a wealth of information to help you prepare for the PMP exam. The exam itself has situational questions, which with the proper prep strategy you can do well. 	 "
BBB,Shirley M,03/11/2021,N/A,,"John was an awesome instructor and I appreciate the course materials, thank you! 	 "
BBB,Hannah S,03/10/2021,N/A,,PMTI is a great company. The instructor was very knowledgeable and engaging and answered all questions outside of class quickly. Yad's videos on the LMS is a great addition to the bootcamp. The information is very organized and easily understandable. He also includes over 1000 exam and quiz questions. Yad also hosts reviews every other Friday for bootcamp participants to ask questions about simulation exam. I passed the PMP exam after their bootcamp and a few weeks of self-studying. I would 100% recommend PMTI. They go above and beyond to ensure your success. 	 
BBB,Jeffery V,03/03/2021,N/A,,"The instructor was very at making sure the information in the course was understood, the material for the course was very instructive, and i was able to pass the exam on the first try 3 days after the course. If you plan on taking the PMP Certification exam, I would recommend PTMI. 	 "
BBB,Kimberley D,03/03/2021,N/A,,"I took the PMTI Bootcamp at the Fairfax, Va. location. I can't say enough great things about the course as well as the instructor, Chase. I passed the exam on my first try!! I highly recommend trying PMTI. 	 "
BBB,Sabrina C,02/28/2021,N/A,,"I took the 4-day bootcamp training for PMP with PMTI, I passed my exam on my first try a month later! The instructors were very good at helping me realize what I should prioritize and hence how to prepare for the exam most efficiently given my busy schedules. I would go back to PMTI when I'm ready for the next level of certification! 	 "
BBB,Melissa B,02/26/2021,N/A,,PMTI has developed training that streamlines the certification process. It was thoughtfully developed for busy professionals who want to become certified. The support after the bootcamp was incredible to help develop study plans tailored to my needs and pass the exam. Definitely recommend the bootcamp and PMTI support team! 	 
BBB,Anjali G,02/19/2021,N/A,,I actually started my journey beginning of last year with the PMP Bootcamp which was 4 days of excellent learning. Made the mistake of not taking the exam right away. Series of high priority projects at work kept me from taking up the exam. Finally end of 2020 got my online access back with PMTI - Highly recommend Yad's videos and all the other available resource on student portal. The support staff was very helpful in getting me back on track. The online access was all I needed - I passed the exam on 12/28/2020 in my first attempt. Thank you so much PMTI! 	 
BBB,Jesse C,02/19/2021,N/A,,"Between the boot camp and the practice tests I was well prepared for the PMP exam. Overall a good experience, passed the test above target in all three domains. 	 "
BBB,Bernard K,02/01/2021,N/A,,"The PMTI Team set me up for success from the very first conversation I had with them in September 2020. Their knowledge of the exam format update in January 2021 and my timeline did not match thus, a recommendation to conduct an online boot camp class January 11-14, 2021 and exam execution immediately following. After following their guidance, on January 22, 2021, I completed the Project Management Professional (PMP) exam with a first-time pass. I would strongly recommend working with entire PMTI Team to reach your goals. 	 "
BBB,Lynsey L,02/01/2021,N/A,,5 star training. Took the PMP boot camp and was fully prepared for the test. Passed on the first attempt! 	 
BBB,Christopher W,01/25/2021,N/A,,PMTI offers an excellent training course to set their students up for success to pass the PMP exam. They do an outstanding job of translating the PMBOK into digestible lessons and provide resources to help retain the vast amount of information required for the exam. I would highly recommend PMTI to anyone looking to broaden their knowledge on Project Management and to those that are looking to take the PMP exam in the near future. 	 
BBB,Matthew H,01/25/2021,N/A,,The class is a great way to get you back in the mindset of a project manger. Opportunities to really ask questions get detailed answers and understanding. Support staff are responsive and the online tools and videos make gaining/regaining understanding of project management worth it. 	 
BBB,Dan U,01/22/2021,N/A,,"PMTI is a top-notch team of experts in getting you to pass the PMP exam. They were right on top of the changes in the exam for the new 2021 format. Their examples and practice questions are relevant and helpful. The instructors and the rest of the staff are knowledgeable, helpful, friendly, and responsive. They provide a concrete methodology for passing the exam and the bootcamp class experience is enhanced by the other folks participating, even in an online class environment. I cannot say enough about how helpful they have been in reaching my goal of earning my PMP. Highly recommend! 	 "
BBB,Naveen V,01/21/2021,N/A,,The material covered in the Bootcamp was very good. Instructor patiently answered all the questions. Student Portal was well organized. Simulation Tests were well planned. All this helped me a lot in passing my PMP exam. 	 
BBB,Jacqueline J,01/20/2021,N/A,,"PMTI's bootcamp is the best there is. Their strategy, engaging and knowledgeable instructors, and study resources not only prepare you to pass the PMP exam, they also set you up for success as a PM. The support staff are courteous and go out of their way to promptly address any questions and concerns. Since taking the course, I've referred three of my colleagues and they all agree that PMTI's PMP bootcamp is high quality. 	 "
BBB,Dhruv S,01/18/2021,N/A,,"The PMTI PMP Bootcamp and corresponding materials were very helpful in successfully passing the PMP exam. The materials provided for the course are excellent, which simplifies the process to become a PMP. I highly recommend PMTI Boot Camp to prep for the PMP certification! 	 "
BBB,Kenneth A,01/13/2021,N/A,,"PMTI's PMP Bootcamp helped me tremendously in preparing for, and ultimately passing the certification exam. Not only were their instructors top-notch, their learning materials were easy to follow and they allowed me to intuitively understand the concepts. Going with PMTI was a wise move for me, and I recommend them to anyone going for their PMP certification! 	 "
BBB,Matt M,01/10/2021,N/A,,"I used PMTI for the PMP Bootcamp. Their approach, material, and ability to make the training fun and relatable set me up for success! Thanks, PMTI! 	 "
BBB,Danielle W,01/06/2021,N/A,,The PMTI Boot Camp class was well worth it in preparing for the PMP exam. The course material was presented in a the way that most would implement in an actual project. The tips and tricks that Yad provided help to reduce some stress and achieve a high score on the exam. 	 
BBB,Dee C,01/05/2021,N/A,,"I highly recommend PMTI to prep for the PMP exam! Yad and Dana were on point, providing relatable guidance and knowledge to pass. Having taking the virtual course at the onset of the pandemic, I was impressed with its delivery. Also to mention, I passed the exam! Thank you PMTI for offering a well though out course to prep your students for the PMP exam. 	 "
BBB,Hosniyeh N,01/04/2021,N/A,,"The 4 day PMTI Boot Camp has definitely helped me prep for my PMP exam. I have passed the exam on my 2nd attempt, PMTI reviewed my initial exam and provided a study plan which helped me isolate criteria for improvement and prioritize my study time. The review sessions were also useful addition as they focused on question interpretation and exam taking strategies. Thanks PMTI for the great material and expert instructors. 	 "
BBB,Adrienne B,01/04/2021,N/A,,"I am so happy that I took this 4 day course with PMTI! There is so much information to know for the PMP exam and PMTI organizes it so well and provides excellent study materials and tools. Thank you Dana for the engaging class and thank you Yad for the excellent materials. I passed the exam with ""Above Target"" and didn't need to read the PMBOK! 	 "
BBB,DW,01/04/2021,N/A,,"A close friend recommended the PMTI Virtual Boot Camp, and it was worth every penny. I took the course on 11/30 and passed the PMP exam on 12/18. Thank you, Yad and Dana! 	 "
BBB,Mark M,01/04/2021,N/A,,"I attended PMTI boot camp in November 2020 and passed my PMP exam in December 2020. PMTI provided excellent instruction, support and customer service that had me well prepared, scoring at or above target in all domains. 	 "
BBB,Ben C,01/04/2021,N/A,,Great course for PMP certification and very well thought out. I felt very prepared going in to take the exam. 	 
BBB,Damien J,12/31/2020,N/A,,I took the bootcamp a couple of weeks ago in preparation of the PMP examination. And I can honestly say that this course was very helpful and exciting and really prepared me for the PMP examination. I highly recommend this course or any course administered by PMTI because I know it is/will be to the upmost quality of any preparation course you have taken. 	 
BBB,Matthew K,04/19/2021,N/A,,Highly recommended for any aspiring PMP Candidate. The quality of instruction and supporting materials provided to students validates PMTI's ability to guarantee passing the PMP exam.!	 
BBB,Janell G,04/13/2021,N/A,,PMTI Boot Camp is highly recommend. Jeff is an awesome instructor who was very patient and kept us engaged. This course truly prepares you to take the PMP. 	 
BBB,Scott C,04/13/2021,N/A,,Outstanding Class.. For the first time a instructor was able to bring sense to the material and made the learning very active. The Prep book was very well written. Job Well done!! 	 
BBB,Christopher W,04/13/2021,N/A,,I highly recommend the PMTI Boot Camp. Chase was an outstanding instructor and really help me better understand the material. I followed their recommendations and was successful at obtaining my PMP on the first try! 	 
BBB,Steven H,04/13/2021,N/A,,Excellent program to help prepare you for the PMP exam. I passed the exam on the first try after attending the 4-day Bootcamp. 	 
BBB,Jeff W,04/06/2021,N/A,,I passed the PMP test on the first try. The blue book was an invaluable tool for studying. MaryAnn did a great job! 	 
BBB,Stacey P,03/31/2021,N/A,,"I highly recommend the PMTI PMP boot camp course. My instructor, Chase, did an excellent job putting PMP principles to real life scenarios. This helped with memorize and applying the concepts. 	 "
BBB,Kathleen E,03/30/2021,N/A,,"I took the PMTI boot camp class and between the class, my studying and experience I achieved an above target score on my first time taking the test 4 weeks after the boot camp ended. I highly recommend this company. 	 "
BBB,Julie B,03/23/2021,N/A,,"The PMTI Boot Camp was a great way to prep for the exam. While I can't say for sure, I do believe PMTI provides more post course support than other boot camps out there. The practice exams really prepare you for the real exam, I don't think I would have passed on my first attempt with out them. I highly recommend taking this course. 	 "
BBB,Todd H,03/23/2021,N/A,,"Great Classes, Materials, Practice Tests and Study Guides. Instructors are very knowledgeable on the topics! 	 "
BBB,Marcia C,03/16/2021,N/A,,"I did the online training with PMTI and I was skeptical at first. But, as I went through the course, I realized they're just as much invested in you passing your PMP as you are. Yad, Jeff, and everyone else there give you all of the tools you need to make it happen. I'd recommend them to anyone interesting in getting their PMP. 	 "
BBB,Sean C,03/09/2021,N/A,,I would highly recommend the PMTI PMP boot camp. Their study materials and online videos break down content and deliver great insight into the thought process needed for the PMP. I successfully passed on my first exam with 2 months of rigorous studying and taking the boot camp. I would suggest this course to all my colleagues. 	 
BBB,David C,03/09/2021,N/A,,PMTI's professional PMP Prep class really helps me. I just passed my PMP exam and earned my PMP above target. This 40 hour class taught by Jeff really helps and taught me a lot in the areas of agile and team areas. I am a long term software analyst and engineer who recently expose to the project management areas and need a lot of help on PM knowledge. Jeff did wonderful just in teaching the concepts and elaborate skills and knowledge on these areas. I also attend Yad's two online training classes after Jeff's class and also learned a lot from Yad's teaching and summarization of test taking techniques. Thank you both Jeff and Yad. You are the best PM teachers I have met and it is my great honor to be your students. I spend three and half weeks after the class to prepa re and yesterday I took the online PearsonVue test and passed it. The test was really hard but I used the concept and knowledge I learned from the PMTI prep course and passed it with great score. 	 
BBB,Adam H,03/09/2021,N/A,,PMTI helped me pass the new PMP exam test on the first try. The material they provide and the practice exams are worth the cost alone as well as having a personalized instructor to answer questions day in and day out. 	 
BBB,Ken S,03/02/2021,N/A,,Just passed the PMP thanks to the training material and lectures provided by PMTI! 	 
BBB,Jeff V,03/02/2021,N/A,,The PMP boot camp is a great tool to assist you preparing for the PMP exam. i would highly recommend it. Elvis was a great instructor and went to great lengths to make sure the students understood the material. Yad has a great organization. 	 
BBB,Kyle A,03/02/2021,N/A,,"Highly recommend, gives you all the tools necessary for successfully passing the first time. 	 "
BBB,Dan U,02/16/2021,N/A,,"PMTI is a great place to learn what you will need to pass the PMP exam. Their team a great job of providing the tools (materials) and techniques needed to knock out your certification on the first try. They are plugged in with the latest changes to the exam, and adapt the course appropriately to help you get across the line. The 4-day class is well organized, and structured to highlight the key information and help you remember it. They also offer a number of practice exams to help you sharpen your skills before test time. Plus, they make themselves available for additional questions once the class is over. All of these things helped me immensely, and I was able to pass on my first try. Thanks, PMTI! 	 "
BBB,Matt O,02/09/2021,N/A,,"My Instructor, Jeff G, was great, very relatable, and willing to share his time and expertise. Be prepared to study a lot, it's a tough exam. Bootcamp and the tools they provide prepares you well for the exam. 	 "
BBB,Ian T,01/26/2021,N/A,,Yad and Dana both have an amazing passion to help students accomplish the worthwhile goal of PMP Certification. 	 
BBB,Lauren J,01/26/2021,N/A,,I highly recommend the PMP Boot Camp course. The 4 day class laid the foundation I needed to pass my exam and the online resources really helped my studying efforts. 	 
BBB,Miguel A,01/26/2021,N/A,,The 4 day PMTI's PMP Boot Camp class is a great course. I will recommended to anybody trying to acquire the PMP Certification. As part of the 4 day course they also provided assistance before and after to help you achieve your goals. 	 
BBB,Danielle W,01/12/2021,N/A,,The PMTI Boot Camp class was well worth it in preparing for the PMP exam. The course material was presented in a the way that most would implement in an actual project. The tips and tricks that Yad provided help to reduce some stress and achieve a high score on the exam. 	 
BBB,Joe S,01/12/2021,N/A,,The PMP Bootcamp was essential in me passing the PMP exam. I could not recommend this program enough to someone thinking of or preparing for the PMP. 	 
BBB,Melvin T,01/12/2021,N/A,,"The PMP course was excellent, and the practice tests were similar, and in some cases harder, than the actual exam. Highly recommend this course to anyone interested in pursuing their PMP! 	 "
BBB,Jana J,01/12/2021,N/A,,"If you want to become PMP certified, this is your bootcamp provider! 	 "
BBB,Eric P,01/12/2021,N/A,,"The PMTI Boot Camp and course booklets are very well prepared so you can understand the PMP process. Their exams have a test and learning mode, the learning mode is very helpful in understanding how the questions are structured and preparing you for the exam. 	 "
BBB,Abebech T,01/05/2021,N/A,,"PMTI great instructors and excellent course materials, including videos and questions bank, enabled me to pass my exam on December 30, 2020. I even found some identical questions in my exam. 	 "
Google,Matthew K,04/19/2021,N/A,,Highly recommended for any aspiring PMP Candidate. The quality of instruction and supporting materials provided to students validates PMTI's ability to guarantee passing the PMP exam.!	 
Google,Janell G,04/13/2021,N/A,,PMTI Boot Camp is highly recommend. Jeff is an awesome instructor who was very patient and kept us engaged. This course truly prepares you to take the PMP. 	 
Google,Scott C,04/13/2021,N/A,,Outstanding Class.. For the first time a instructor was able to bring sense to the material and made the learning very active. The Prep book was very well written. Job Well done!! 	 
Google,Christopher W,04/13/2021,N/A,,I highly recommend the PMTI Boot Camp. Chase was an outstanding instructor and really help me better understand the material. I followed their recommendations and was successful at obtaining my PMP on the first try! 	 
Google,Steven H,04/13/2021,N/A,,Excellent program to help prepare you for the PMP exam. I passed the exam on the first try after attending the 4-day Bootcamp. 	 
Google,Jeff W,04/06/2021,N/A,,I passed the PMP test on the first try. The blue book was an invaluable tool for studying. MaryAnn did a great job! 	 
Google,Stacey P,03/31/2021,N/A,,"I highly recommend the PMTI PMP boot camp course. My instructor, Chase, did an excellent job putting PMP principles to real life scenarios. This helped with memorize and applying the concepts. 	 "
Google,Kathleen E,03/30/2021,N/A,,"I took the PMTI boot camp class and between the class, my studying and experience I achieved an above target score on my first time taking the test 4 weeks after the boot camp ended. I highly recommend this company. 	 "
Google,Julie B,03/23/2021,N/A,,"The PMTI Boot Camp was a great way to prep for the exam. While I can't say for sure, I do believe PMTI provides more post course support than other boot camps out there. The practice exams really prepare you for the real exam, I don't think I would have passed on my first attempt with out them. I highly recommend taking this course. 	 "
Google,Todd H,03/23/2021,N/A,,"Great Classes, Materials, Practice Tests and Study Guides. Instructors are very knowledgeable on the topics! 	 "
Google,Marcia C,03/16/2021,N/A,,"I did the online training with PMTI and I was skeptical at first. But, as I went through the course, I realized they're just as much invested in you passing your PMP as you are. Yad, Jeff, and everyone else there give you all of the tools you need to make it happen. I'd recommend them to anyone interesting in getting their PMP. 	 "
Google,Sean C,03/09/2021,N/A,,I would highly recommend the PMTI PMP boot camp. Their study materials and online videos break down content and deliver great insight into the thought process needed for the PMP. I successfully passed on my first exam with 2 months of rigorous studying and taking the boot camp. I would suggest this course to all my colleagues. 	 
Google,David C,03/09/2021,N/A,,PMTI's professional PMP Prep class really helps me. I just passed my PMP exam and earned my PMP above target. This 40 hour class taught by Jeff really helps and taught me a lot in the areas of agile and team areas. I am a long term software analyst and engineer who recently expose to the project management areas and need a lot of help on PM knowledge. Jeff did wonderful just in teaching the concepts and elaborate skills and knowledge on these areas. I also attend Yad's two online training classes after Jeff's class and also learned a lot from Yad's teaching and summarization of test taking techniques. Thank you both Jeff and Yad. You are the best PM teachers I have met and it is my great honor to be your students. I spend three and half weeks after the class to prepa re and yesterday I took the online PearsonVue test and passed it. The test was really hard but I used the concept and knowledge I learned from the PMTI prep course and passed it with great score. 	 
Google,Adam H,03/09/2021,N/A,,PMTI helped me pass the new PMP exam test on the first try. The material they provide and the practice exams are worth the cost alone as well as having a personalized instructor to answer questions day in and day out. 	 
Google,Ken S,03/02/2021,N/A,,Just passed the PMP thanks to the training material and lectures provided by PMTI! 	 
Google,Jeff V,03/02/2021,N/A,,The PMP boot camp is a great tool to assist you preparing for the PMP exam. i would highly recommend it. Elvis was a great instructor and went to great lengths to make sure the students understood the material. Yad has a great organization. 	 
Google,Kyle A,03/02/2021,N/A,,"Highly recommend, gives you all the tools necessary for successfully passing the first time. 	 "
Google,Dan U,02/16/2021,N/A,,"PMTI is a great place to learn what you will need to pass the PMP exam. Their team a great job of providing the tools (materials) and techniques needed to knock out your certification on the first try. They are plugged in with the latest changes to the exam, and adapt the course appropriately to help you get across the line. The 4-day class is well organized, and structured to highlight the key information and help you remember it. They also offer a number of practice exams to help you sharpen your skills before test time. Plus, they make themselves available for additional questions once the class is over. All of these things helped me immensely, and I was able to pass on my first try. Thanks, PMTI! 	 "
Google,Matt O,02/09/2021,N/A,,"My Instructor, Jeff G, was great, very relatable, and willing to share his time and expertise. Be prepared to study a lot, it's a tough exam. Bootcamp and the tools they provide prepares you well for the exam. 	 "
Google,Ian T,01/26/2021,N/A,,Yad and Dana both have an amazing passion to help students accomplish the worthwhile goal of PMP Certification. 	 
Google,Lauren J,01/26/2021,N/A,,I highly recommend the PMP Boot Camp course. The 4 day class laid the foundation I needed to pass my exam and the online resources really helped my studying efforts. 	 
Google,Miguel A,01/26/2021,N/A,,The 4 day PMTI's PMP Boot Camp class is a great course. I will recommended to anybody trying to acquire the PMP Certification. As part of the 4 day course they also provided assistance before and after to help you achieve your goals. 	 
Google,Danielle W,01/12/2021,N/A,,The PMTI Boot Camp class was well worth it in preparing for the PMP exam. The course material was presented in a the way that most would implement in an actual project. The tips and tricks that Yad provided help to reduce some stress and achieve a high score on the exam. 	 
Google,Joe S,01/12/2021,N/A,,The PMP Bootcamp was essential in me passing the PMP exam. I could not recommend this program enough to someone thinking of or preparing for the PMP. 	 
Google,Melvin T,01/12/2021,N/A,,"The PMP course was excellent, and the practice tests were similar, and in some cases harder, than the actual exam. Highly recommend this course to anyone interested in pursuing their PMP! 	 "
Google,Jana J,01/12/2021,N/A,,"If you want to become PMP certified, this is your bootcamp provider! 	 "
Google,Eric P,01/12/2021,N/A,,"The PMTI Boot Camp and course booklets are very well prepared so you can understand the PMP process. Their exams have a test and learning mode, the learning mode is very helpful in understanding how the questions are structured and preparing you for the exam. 	 "
Google,Abebech T,01/05/2021,N/A,,"PMTI great instructors and excellent course materials, including videos and questions bank, enabled me to pass my exam on December 30, 2020. I even found some identical questions in my exam. 	 "
Shopper Approved,Anthonia A.,"February 11, 2024",United States,5,“I was satisfied with 4PMTI service. PMTI Instructor-Led PMP certification boot camp helped me ace my PMP exam on first attempt. It was an intensive four-day classroom experience and it was worth the time and resources.”
Shopper Approved,Lisa,"May 6, 2022","VA, United States",5,“It was great. The customer service was excellent. Just a good experience.”
Shopper Approved,Lauren M.,"March 31, 2022","FL, United States",5,“Everyone was professional and responsive over email. I had no issues getting my questions answered. The class was excellent and definitely prepared me for the PMP exam. I would only recommend this class and company to anyone looking to pass the PMP on their first try.”
Shopper Approved,Dess V.,"September 28, 2021","VA, United States",5,"“PMTI was vital for passing my PMP exam! My instructor, Jeff Garelik was very helpful in explaining hard concepts and provided many real-life examples. I also received extremely fast replies via email whenever I had any questions. I would recommend PMTI if you are considering taking one of PMI's certifications and want to succeed!”"
Shopper Approved,Maureen M.,"August 9, 2021","CA, United States",5,"“The course was well structured and the instructor (Dana S) did a fantastic job keeping the class engaged at all times.I passed the PMP exam in the 1st try with an ""above the target"" pass. Highly recommend it.”"
Shopper Approved,Sydney R.,"August 3, 2021","LA, United States",4,“The program was easy to find and to navigate.”
Shopper Approved,Lauren M.,"August 2, 2021","FL, United States",5,“The PMTI team was very responsive and easy to work with. They answered all questions promptly and completely.”
Shopper Approved,Allie,"August 2, 2021",United States,5,“This training was very good. I like the small group atmosphere. It improved learning because we could all ask questions freely without being concerned with slowing down the class.”
Shopper Approved,Wendy,"July 15, 2021","TX, United States",5,"“I attribute my success in passing the PMP exam to the great training from PMTI. The bootcamp instructor was excellent and succinct in the delivery of the material and I really appreciated the practice exams.  I practiced the questions in ""learning mode"" so I could receive immediate feedback on each question and learn additional details around the topic of the question.  I believe that was the key to my success.”"
Shopper Approved,LP,"July 15, 2021","TX, United States",5,"“I thoroughly enjoyed the PMTI experience and found it to be an excellent training course for the PMP exam! Their adult learning methods are powerful, and the boot camp instructor, Dana, was very effective in presenting the information and providing tools and tips to aid in my learning. The training sessions offered by Yad are also very useful to supplement learning, and the feedback from recent successful students helps to build confidence toward taking the exam. I fully recommend PMTI!”"
Shopper Approved,Saadia Y.,"July 14, 2021","TX, United States",5,"“Taking PMP 4-Day boot camp through PMTI was one of my best decisions. They prepare you very well for the exam. The study materials, live video preparation, tips etc prepare you very well. Plus I had a fabulous instructor Dana Shinbaum. Dana did an amazing job in preparing me for this exam. If you are looking to pass the test take the course with PMTI and follow their material. :~) Thank you Dana Shinbaum, you are awesome!!”"
Shopper Approved,Melissa,"June 30, 2021","PA, United States",5,“I passed my PMP exam on the first try!  My instructor Jeff Garelik was very knowledgeable and made the course easy to understand.”
Shopper Approved,Brian O.,"June 30, 2021","OH, United States",5,“Great class and the practice tests are extremely helpful!”
Shopper Approved,Wendell K.,"June 28, 2021","TX, United States",5,"“I would highly recommend PMTI's PMP Bootcamp to anyone preparing to take the PMP Exam.  The material on the exam has significantly changes in 2021, and PMTI did an outstanding job preparing me for the information on the test.  It is not only important to know what is on the test, but how to take the test.  Again, PMTI did an excellent job teaching on how to take the test to be successful.  The practice test offered by PMTI probably helped me the most in my opinion.  They are structured as close to the real test as you will find and are a great tool in identifying strengths and weaknesses.  Overall, I am more than happy with the program!”"
Shopper Approved,Cristian G.,"June 25, 2021","VA, United States",5,“Supportive staff & the provided material does a good job to prepare you for the exam. I loved having the ability to replay bootcamp recordings on my smartphone!”
Shopper Approved,Dana W.,"June 23, 2021","PA, United States",5,"“I am so glad I took the time to attend a boot camp a few weeks before taking the PMP, because I don't believe I would have been as successful on the exam as I was. The days were long, but the material and the instructor were amazing. The tips and tricks the instructor shared, along with fellow classmates made all the difference. I don't plan to take the PMP exam again, but if I needed to, I will immediately sign up for another boot camp session! I have recommended this course to fellow project managers who haven't taken the PMP exam.”"
Shopper Approved,Lisa,"May 29, 2021","AZ, United States",5,"“When I had questions or needed additional information, pmti readily answered my questions and emailed me any additional documentation I requested.”"
Shopper Approved,Jason W.,"May 26, 2021","NV, United States",5,"“PMTI is the gold standard for PM training. The team delivers fantastic service, trust me you won't be disappointed.”"
Shopper Approved,John,"May 26, 2021","IN, United States",5,"“Highly recommend the PMP bootcamp.  The test is long and difficult, but the bootcamp gives you everything you need to pass.”"
Shopper Approved,Signal P.,"May 12, 2021","CA, United States",5,"“Customer support provided responses almost immediately. Questions were promptly answered, left me with full confidence.”"
Shopper Approved,Anthonia A.,"February 11, 2024",United States,5,“I was satisfied with 4PMTI service. PMTI Instructor-Led PMP certification boot camp helped me ace my PMP exam on first attempt. It was an intensive four-day classroom experience and it was worth the time and resources.”
Shopper Approved,Lisa,"May 6, 2022","VA, United States",5,“It was great. The customer service was excellent. Just a good experience.”
Shopper Approved,Lauren M.,"March 31, 2022","FL, United States",5,“Everyone was professional and responsive over email. I had no issues getting my questions answered. The class was excellent and definitely prepared me for the PMP exam. I would only recommend this class and company to anyone looking to pass the PMP on their first try.”
Shopper Approved,Dess V.,"September 28, 2021","VA, United States",5,"“PMTI was vital for passing my PMP exam! My instructor, Jeff Garelik was very helpful in explaining hard concepts and provided many real-life examples. I also received extremely fast replies via email whenever I had any questions. I would recommend PMTI if you are considering taking one of PMI's certifications and want to succeed!”"
